Time (s),Amplitude (V)
0.0,0.0
9.99960001599936e-09,0.0
1.999920003199872e-08,0.016666666666666607
2.999880004799808e-08,0.0
3.999840006399744e-08,0.0
4.9998000079996805e-08,0.016666666666666607
5.999760009599616e-08,0.0
6.999720011199553e-08,0.0
7.999680012799488e-08,0.0
8.999640014399424e-08,0.016666666666666607
9.999600015999361e-08,0.016666666666666607
1.0999560017599296e-07,0.0
1.1999520019199232e-07,0.0
1.2999480020799168e-07,0.0
1.3999440022399106e-07,0.0
1.4999400023999041e-07,0.0
1.5999360025598977e-07,0.0
1.6999320027198912e-07,0.0
1.7999280028798848e-07,0.0
1.8999240030398786e-07,0.0
1.9999200031998722e-07,0.0
2.0999160033598657e-07,0.0
2.1999120035198593e-07,0.0
2.2999080036798529e-07,0.016666666666666607
2.3999040038398464e-07,0.0
2.49990000399984e-07,0.0
2.5998960041598335e-07,0.0
2.6998920043198273e-07,0.0
2.799888004479821e-07,0.0
2.8998840046398145e-07,0.016666666666666607
2.9998800047998083e-07,0.0
3.0998760049598016e-07,0.0
3.1998720051197954e-07,0.0
3.299868005279789e-07,0.0
3.3998640054397825e-07,0.0
3.4998600055997763e-07,0.0
3.5998560057597696e-07,0.0
3.6998520059197634e-07,0.016666666666666607
3.799848006079757e-07,0.0
3.8998440062397505e-07,0.0
3.9998400063997444e-07,0.0
4.0998360065597377e-07,0.0
4.1998320067197315e-07,0.0
4.2998280068797253e-07,0.0
4.3998240070397186e-07,0.0
4.4998200071997124e-07,0.0
4.5998160073597057e-07,0.0
4.6998120075196995e-07,0.0
4.799808007679693e-07,0.0
4.899804007839687e-07,0.0
4.99980000799968e-07,0.0
5.099796008159674e-07,0.0
5.199792008319667e-07,0.0
5.299788008479661e-07,0.0
5.399784008639655e-07,0.0
5.499780008799648e-07,0.0
5.599776008959642e-07,0.0
5.699772009119636e-07,0.0
5.799768009279629e-07,0.0
5.899764009439623e-07,0.0
5.999760009599617e-07,0.0
6.09975600975961e-07,0.0
6.199752009919603e-07,0.0
6.299748010079597e-07,0.016666666666666607
